Uid,Time,Order No,Symbol,Type,Side,Price,Average Price,Amount,Executed Amount,Executed Quote Amount,Stop Price,Status,Update Time
11207629,20-09-08 09:52:33,7271264014,BTCUSDT,LIMIT,SELL,10100,10100,0.381,0.381,3848.1,0,FILLED,20-09-08 09:52:38
11207629,20-09-08 11:04:44,7273964015,BTCUSDT,MARKET,SELL,0,10071.99,0.141,0.141,1420.15059,0,FILLED,20-09-08 11:04:44
11207629,20-09-08 11:05:50,7273996187,BTCUSDT,STOP_MARKET,BUY,0,,0.522,0,0,10108,CANCELED,20-09-08 11:12:36
11207629,20-09-08 11:05:55,7273997168,BTCUSDT,STOP_MARKET,BUY,0,,0.522,0,0,10108,CANCELED,20-09-08 11:06:01
11207629,20-09-08 11:11:37,7274126794,BTCUSDT,MARKET,SELL,0,10032.83714286,0.224,0.224,2247.35552,0,FILLED,20-09-08 11:11:37
11207629,20-09-08 11:12:31,7274156291,BTCUSDT,STOP_MARKET,BUY,0,,0.746,0,0,10070,CANCELED,20-09-08 12:42:28
11207629,20-09-08 12:42:06,7277321377,BTCUSDT,MARKET,BUY,0,9982.92,0.746,0.746,7447.25832,0,FILLED,20-09-08 12:42:06
11207629,20-09-08 12:44:04,7277410679,BTCUSDT,LIMIT,SELL,10050,,0.916,0,0,0,CANCELED,20-09-08 12:44:12
11207629,20-09-08 12:44:21,7277431227,BTCUSDT,MARKET,SELL,0,9967.65358225,0.924,0.924,9210.11191,0,FILLED,20-09-08 12:44:21
11207629,20-09-08 12:45:21,7277477525,BTCUSDT,MARKET,BUY,0,10029.55922078,0,0.924,9267.31272,10025,FILLED,20-09-08 12:57:40
11207629,20-09-08 12:59:27,7277913045,BTCUSDT,MARKET,SELL,0,10017.76032787,0.366,0.366,3666.50028,0,FILLED,20-09-08 12:59:27
11207629,20-09-08 13:00:01,7277929486,BTCUSDT,STOP_MARKET,BUY,0,,0,0,0,10052,EXPIRED,20-09-08 13:27:24
11207629,20-09-08 13:27:24,7278773752,BTCUSDT,MARKET,BUY,0,9960.28,0.366,0.366,3645.46248,0,FILLED,20-09-08 13:27:24
11207629,20-09-08 13:27:37,7278780704,BTCUSDT,MARKET,SELL,0,9959.45540268,0.596,0.596,5935.83542,0,FILLED,20-09-08 13:27:37
11207629,20-09-08 13:27:58,7278791165,BTCUSDT,MARKET,BUY,0,10010.5525,0,0.596,5966.28929,9995,FILLED,20-09-08 13:31:52
11207629,20-09-08 13:37:08,7279321266,BTCUSDT,MARKET,SELL,0,9986.49,0.153,0.153,1527.93297,0,FILLED,20-09-08 13:37:08
11207629,20-09-08 13:56:52,7280447275,BTCUSDT,MARKET,BUY,0,9981.16,0.153,0.153,1527.11748,0,FILLED,20-09-08 13:56:52
11207629,20-09-08 13:57:35,7280481513,BTCUSDT,MARKET,BUY,0,10040.09,0,0.148,1485.93332,10040,FILLED,20-09-08 14:08:48
11207629,20-09-08 13:57:35,7280481508,BTCUSDT,MARKET,SELL,0,9999.77,0.148,0.148,1479.96596,0,FILLED,20-09-08 13:57:35
