Uid,Time,Order No,Symbol,Type,Side,Price,Average Price,Amount,Executed Amount,Executed Quote Amount,Stop Price,Status,Update Time
11207629,25-01-03 10:50:40,2267239221,GMXUSDT,MARKET,BUY,0,28.23440414,177.02,177.02,4998.05422,0,FILLED,25-01-03 10:50:40
11207629,25-01-03 10:51:01,2267240106,GMXUSDT,STOP_MARKET,SELL,0,,0,0,0,27.952,EXPIRED,25-01-03 11:18:25
11207629,25-01-03 10:51:17,536280715607,BTCUSDT,MARKET,BUY,0,96424.2,0.054,0.054,5206.9068,0,FILLED,25-01-03 10:51:17
11207629,25-01-03 10:51:33,536280835492,BTCUSDT,STOP_MARKET,SELL,0,,0,0,0,95787.8,EXPIRED,25-01-03 11:18:20
11207629,25-01-03 10:52:25,2267243010,GMXUSDT,STOP_MARKET,SELL,0,,0,0,0,35,EXPIRED,25-01-03 11:18:25
11207629,25-01-03 11:18:20,536293936427,BTCUSDT,MARKET,SELL,0,96506,0.054,0.054,5211.324,0,FILLED,25-01-03 11:18:20
11207629,25-01-03 11:18:25,2267288822,GMXUSDT,MARKET,SELL,0,28.28623257,177.02,177.02,5007.22889,0,FILLED,25-01-03 11:18:25
11207629,25-01-03 11:18:42,2267289391,GMXUSDT,MARKET,BUY,0,28.29311883,219.81,219.81,6219.11045,0,FILLED,25-01-03 11:18:42
11207629,25-01-03 11:19:33,2267290515,GMXUSDT,STOP_MARKET,SELL,0,,0,0,0,27.939,CANCELED,25-01-03 12:32:44
11207629,25-01-03 11:20:21,2267292292,GMXUSDT,MARKET,BUY,0,28.329,7.37,7.37,208.78473,0,FILLED,25-01-03 11:20:21
11207629,25-01-03 11:21:27,2267294919,GMXUSDT,STOP_MARKET,SELL,0,,0,0,0,39,EXPIRED,25-01-03 16:09:53
11207629,25-01-03 11:29:42,2267310459,GMXUSDT,MARKET,BUY,0,28.372,5,5,141.86,0,FILLED,25-01-03 11:29:42
11207629,25-01-03 11:33:16,2267318908,GMXUSDT,MARKET,BUY,0,28.413,5.16,5.16,146.61108,0,FILLED,25-01-03 11:33:16
11207629,25-01-03 12:12:07,2267395035,GMXUSDT,MARKET,BUY,0,28.53464148,20.78,20.78,592.94985,0,FILLED,25-01-03 12:12:07
11207629,25-01-03 12:32:25,2267435136,GMXUSDT,MARKET,BUY,0,28.64787545,19.27,19.27,552.04456,0,FILLED,25-01-03 12:32:25
11207629,25-01-03 12:32:44,2267435842,GMXUSDT,STOP_MARKET,SELL,0,,0,0,0,28.1,CANCELED,25-01-03 15:45:40
11207629,25-01-03 14:16:09,2267655567,GMXUSDT,MARKET,BUY,0,28.699,8.46,8.46,242.79354,0,FILLED,25-01-03 14:16:09
11207629,25-01-03 14:44:52,2267754821,GMXUSDT,MARKET,BUY,0,28.78667614,15.84,15.84,455.98095,0,FILLED,25-01-03 14:44:52
