Uid,Time,Order No,Symbol,Type,Side,Price,Average Price,Amount,Executed Amount,Executed Quote Amount,Stop Price,Status,Update Time
11207629,24-01-05 17:30:08,2985319362,ARPAUSDT,MARKET,SELL,0,0.07133534,4931,4931,351.75455,0,FILLED,24-01-05 17:30:08
11207629,24-01-05 17:30:32,2985323027,ARPAUSDT,STOP_MARKET,BUY,0,,0,0,0,0.07187,CANCELED,24-01-05 17:48:32
11207629,24-01-05 17:31:23,2985328926,ARPAUSDT,MARKET,SELL,0,0.07091,541,541,38.36231,0,FILLED,24-01-05 17:31:23
11207629,24-01-05 17:31:55,2985336093,ARPAUSDT,MARKET,SELL,0,0.07074,336,336,23.76864,0,FILLED,24-01-05 17:31:55
11207629,24-01-05 17:32:23,2985340856,ARPAUSDT,STOP_MARKET,BUY,0,,0,0,0,0.06,CANCELED,24-01-05 17:54:33
11207629,24-01-05 17:48:32,2985542892,ARPAUSDT,STOP_MARKET,BUY,0,,0,0,0,0.072,CANCELED,24-01-05 17:54:12
11207629,24-01-05 17:54:12,2985583342,ARPAUSDT,STOP_MARKET,BUY,0,,0,0,0,0.0725,CANCELED,24-01-05 19:02:32
11207629,24-01-05 17:54:34,2985586299,ARPAUSDT,STOP_MARKET,BUY,0,,0,0,0,0.062,EXPIRED,24-01-05 19:04:10
11207629,24-01-05 19:02:23,2985967078,ARPAUSDT,LIMIT,SELL,0.06982,0.06982,1705,1705,119.0431,0,FILLED,24-01-05 19:02:26
11207629,24-01-05 19:02:33,2985968382,ARPAUSDT,STOP_MARKET,BUY,0,,0,0,0,0.0715,CANCELED,24-01-05 19:02:56
11207629,24-01-05 19:02:48,2985985931,ARPAUSDT,LIMIT,SELL,0.06982,,2026,0,0,0,CANCELED,24-01-05 19:03:08
11207629,24-01-05 19:02:57,2985991721,ARPAUSDT,STOP_MARKET,BUY,0,,0,0,0,0.0705,CANCELED,24-01-05 19:03:28
11207629,24-01-05 19:03:15,2986005019,ARPAUSDT,MARKET,SELL,0,0.06728,1750,1750,117.74,0,FILLED,24-01-05 19:03:15
11207629,24-01-05 19:03:28,2986011821,ARPAUSDT,STOP_MARKET,BUY,0,,0,0,0,0.07,EXPIRED,24-01-05 19:04:10
11207629,24-01-05 19:04:10,2986023085,ARPAUSDT,MARKET,BUY,0,0.06739738,9263,9263,624.30197,0,FILLED,24-01-05 19:04:10
11207629,24-01-05 19:07:31,308066868,POWRUSDT,MARKET,SELL,0,0.743,1340,1340,995.62,0,FILLED,24-01-05 19:07:31
11207629,24-01-05 19:07:42,308069821,POWRUSDT,MARKET,SELL,0,0.7437,54,54,40.1598,0,FILLED,24-01-05 19:07:42
11207629,24-01-05 19:07:54,308073558,POWRUSDT,STOP_MARKET,BUY,0,,0,0,0,0.7481,CANCELED,24-01-05 19:08:26
11207629,24-01-05 19:08:11,308079245,POWRUSDT,STOP_MARKET,BUY,0,,0,0,0,0.65,CANCELED,24-01-05 19:11:21
11207629,24-01-05 19:08:27,308090361,POWRUSDT,STOP_MARKET,BUY,0,,0,0,0,0.751,CANCELED,24-01-05 19:08:39
11207629,24-01-05 19:08:39,308100102,POWRUSDT,STOP_MARKET,BUY,0,,0,0,0,0.76,CANCELED,24-01-05 19:12:13
11207629,24-01-05 19:11:22,308172026,POWRUSDT,STOP_MARKET,BUY,0,,0,0,0,0.64,EXPIRED,24-01-05 20:39:53
11207629,24-01-05 19:11:59,308196457,POWRUSDT,MARKET,SELL,0,0.74352937,286,286,212.6494,0,FILLED,24-01-05 19:11:59
11207629,24-01-05 19:12:13,308204246,POWRUSDT,STOP_MARKET,BUY,0,,0,0,0,0.756,CANCELED,24-01-05 19:13:34
11207629,24-01-05 19:12:24,308208108,POWRUSDT,MARKET,SELL,0,0.7403,178,178,131.7734,0,FILLED,24-01-05 19:12:24
11207629,24-01-05 19:13:23,308223945,POWRUSDT,MARKET,SELL,0,0.7402,42,42,31.0884,0,FILLED,24-01-05 19:13:23
11207629,24-01-05 19:13:34,308226536,POWRUSDT,STOP_MARKET,BUY,0,,0,0,0,0.753,CANCELED,24-01-05 19:15:22
11207629,24-01-05 19:15:15,308254781,POWRUSDT,MARKET,SELL,0,0.7372,206,206,151.8632,0,FILLED,24-01-05 19:15:15
11207629,24-01-05 19:15:22,308258224,POWRUSDT,MARKET,BUY,0,0.7614,2106,2106,1603.5084,0.751,FILLED,24-01-05 20:39:53
11207629,24-01-05 20:52:24,310201032,POWRUSDT,MARKET,SELL,0,0.7333,102,102,74.7966,0,FILLED,24-01-05 20:52:24
11207629,24-01-05 20:54:11,310228616,POWRUSDT,LIMIT,BUY,0.7476943,0.7369,102,102,75.1638,0,FILLED,24-01-05 20:54:11
11207629,24-01-06 18:30:26,8307544285,MASKUSDT,MARKET,SELL,0,4.50764839,620,620,2794.742,0,FILLED,24-01-06 18:30:26
11207629,24-01-06 18:30:36,8307548949,MASKUSDT,STOP_MARKET,BUY,0,,0,0,0,4.553,CANCELED,24-01-06 19:14:54
11207629,24-01-06 18:31:07,8307560599,MASKUSDT,MARKET,SELL,0,4.494,67,67,301.098,0,FILLED,24-01-06 18:31:07
11207629,24-01-06 18:45:44,8307943687,MASKUSDT,MARKET,SELL,0,4.478,279,279,1249.362,0,FILLED,24-01-06 18:45:44
11207629,24-01-06 18:45:47,8307944434,MASKUSDT,MARKET,SELL,0,4.481,114,114,510.834,0,FILLED,24-01-06 18:45:47
11207629,24-01-06 18:45:49,8307944989,MASKUSDT,MARKET,SELL,0,4.481,27,27,120.987,0,FILLED,24-01-06 18:45:49
11207629,24-01-06 18:45:52,8307947425,MASKUSDT,MARKET,SELL,0,4.482,4,4,17.928,0,FILLED,24-01-06 18:45:52
11207629,24-01-06 18:49:59,8308017886,MASKUSDT,STOP_MARKET,BUY,0,,0,0,0,4,CANCELED,24-01-06 19:14:24
11207629,24-01-06 19:14:24,8308553358,MASKUSDT,STOP_MARKET,BUY,0,,0,0,0,4.2,CANCELED,24-01-06 19:15:30
11207629,24-01-06 19:14:54,8308556699,MASKUSDT,STOP_MARKET,BUY,0,,0,0,0,4.5,CANCELED,24-01-06 19:16:52
11207629,24-01-06 19:15:31,8308563927,MASKUSDT,STOP_MARKET,BUY,0,,0,0,0,4.15,EXPIRED,24-01-06 19:20:13
11207629,24-01-06 19:16:52,8308584616,MASKUSDT,MARKET,BUY,0,4.47333718,1127,1127,5041.451,4.46,FILLED,24-01-06 19:20:13
11207629,24-01-06 19:18:06,8308599647,MASKUSDT,MARKET,BUY,0,4.437,111,111,492.507,0,FILLED,24-01-06 19:18:06
11207629,24-01-06 19:18:14,8308601983,MASKUSDT,MARKET,SELL,0,4.433,127,127,562.991,0,FILLED,24-01-06 19:18:14
11207629,24-01-06 19:37:49,8309246516,MASKUSDT,MARKET,SELL,0,4.444,749,749,3328.556,0,FILLED,24-01-06 19:37:49
11207629,24-01-06 19:38:03,8309250163,MASKUSDT,MARKET,BUY,0,4.4630494,749,749,3342.824,4.459,FILLED,24-01-06 19:39:42
