Date(UTC+1),Method,Spend Amount,Receive Amount,Fee,Price,Status,Transaction ID
2024-12-12 08:51:04,Card (VISA/Mastercard),95.00 CHF,101.61492433 USDT,1.90 CHF,0.916204 USDT/CHF,Successful,N01563614277714652160121229
2024-12-12 08:42:30,Card (VISA/Mastercard),50.00 CHF,53.48143356 USDT,1.00 CHF,0.91620581 USDT/CHF,Successful,N01563612121481695232121229
2024-12-11 13:52:48,Card (VISA/Mastercard),135.00 CHF,144.08787029 USDT,2.70 CHF,0.91818971 USDT/CHF,Successful,N01563327821041436672121129
2024-12-11 13:51:07,Card (VISA/Mastercard),150.00 CHF,160.1241733 USDT,3.00 CHF,0.91803753 USDT/CHF,Failed,N01563327398704385024121129
2024-12-11 13:49:52,Card (VISA/Mastercard),150.00 CHF,160.14666831 USDT,3.00 CHF,0.91790857 USDT/CHF,Failed,N01563327082453880832121129
2024-12-11 13:48:53,Card (VISA/Mastercard),147.00 CHF,156.92377491 USDT,2.94 CHF,0.91802533 USDT/CHF,Failed,N01563326834885080064121129
2024-12-11 13:48:22,Card (VISA/Mastercard),147.00 CHF,156.94201799 USDT,2.94 CHF,0.91791862 USDT/CHF,Failed,N01563326708892374016121129
2024-12-11 13:46:59,Card (VISA/Mastercard),150.00 CHF,160.13195081 USDT,3.00 CHF,0.91799294 USDT/CHF,Failed,N01563326360261830656121129
2024-12-10 16:38:09,Card (VISA/Mastercard),300.00 CHF,320.58092399 USDT,6.00 CHF,0.91708514 USDT/CHF,Successful,N01563007048347063296121029
2024-12-02 04:16:32,Card (VISA/Mastercard),76.00 CHF,81.02622739 USDT,1.52 CHF,0.91920854 USDT/CHF,Successful,N01559921308197222400120229
2024-10-05 14:00:13,Card (VISA/Mastercard),60.00 CHF,65.9449983 USDT,1.20 CHF,0.89165216 USDT/CHF,Successful,N01539049701131985920100529
2024-10-05 11:02:24,Card (VISA/Mastercard),170.00 CHF,187.02710031 USDT,3.40 CHF,0.89078 USDT/CHF,Successful,N01539004950886261760100529
2024-10-04 20:13:42,Card (VISA/Mastercard),150.00 CHF,164.8141802 USDT,3.00 CHF,0.89191355 USDT/CHF,Successful,N01538781305089867776100429
2024-10-04 17:14:49,Card (VISA/Mastercard),100.00 CHF,109.839422 USDT,2.00 CHF,0.89221154 USDT/CHF,Successful,N01538736288350650368100429
2024-10-04 17:13:45,Google Pay (VISA/Mastercard),80.00 CHF,87.88152294 USDT,1.60 CHF,0.89211017 USDT/CHF,Failed,N01538736018010963968100429
2024-09-08 14:47:08,Card (VISA/Mastercard),67.50 CHF,75.56018287 USDT,1.35 CHF,0.87546109 USDT/CHF,Successful,N01529277036582967296090829
2024-08-11 12:29:41,Card (VISA/Mastercard),35.00 CHF,38.14080791 USDT,0.70 CHF,0.89929925 USDT/CHF,Successful,N01519095585811874816081129
2024-08-10 16:43:08,Card (VISA/Mastercard),100.00 CHF,109.01861984 USDT,2.00 CHF,0.89892901 USDT/CHF,Successful,N01518796981436043264081029
2024-08-05 21:57:47,Card (VISA/Mastercard),22.00 CHF,24.35537115 USDT,0.44 CHF,0.88522568 USDT/CHF,Successful,N01517064226255811584080529
2024-07-29 18:09:34,Card (VISA/Mastercard),150.00 CHF,159.75178285 USDT,3.00 CHF,0.92017752 USDT/CHF,Successful,N01514470078965165056072929
2024-07-29 10:58:18,Card (VISA/Mastercard),100.00 CHF,106.70854592 USDT,2.00 CHF,0.91838942 USDT/CHF,Successful,N01514361544671830016072929
2024-07-12 21:14:07,Google Pay (VISA/Mastercard),60.00 CHF,63.35719667 USDT,1.20 CHF,0.92807137 USDT/CHF,Successful,N01508355926521506816071229
2024-06-21 20:03:55,Google Pay (VISA/Mastercard),16.30 CHF,17.22637574 USDT,0.33 CHF,0.92706674 USDT/CHF,Successful,N01500728116088780800062129
2024-06-21 17:20:53,Google Pay (VISA/Mastercard),50.00 CHF,52.8634111 USDT,1.00 CHF,0.92691711 USDT/CHF,Failed,N01500687088984095744062129
2024-05-05 11:47:18,Card (VISA/Mastercard),100.00 CHF,104.36873849 USDT,2.00 CHF,0.93897849 USDT/CHF,Successful,N01483570910570354688050529
2024-04-19 16:44:17,Card (VISA/Mastercard),20.40 CHF,21.20350885 USDT,0.41 CHF,0.94276849 USDT/CHF,Successful,N01477847441115244544041929
2024-04-14 14:23:54,Card (VISA/Mastercard),45.00 CHF,46.47309585 USDT,0.91 CHF,0.94872096 USDT/CHF,Successful,N01476000172246103040041429
2024-04-14 12:45:28,Card (VISA/Mastercard),69.00 CHF,71.27071546 USDT,1.38 CHF,0.94877678 USDT/CHF,Successful,N01475975403006132224041429
2024-03-20 11:49:39,Card (VISA/Mastercard),69.00 CHF,73.090899 USDT,1.38 CHF,0.92514938 USDT/CHF,Successful,N01466901659244519424032029
2024-03-13 02:32:07,Card (VISA/Mastercard),101.00 CHF,108.65303494 USDT,2.02 CHF,0.91097317 USDT/CHF,Successful,N01464224637183516672031329
2024-03-04 15:15:21,Card (VISA/Mastercard),59.00 CHF,62.88340585 USDT,1.18 CHF,0.91947946 USDT/CHF,Successful,N01461155217594718208030429
2024-03-04 11:25:20,Card (VISA/Mastercard),200.00 USD,191.55600622 USDT,4.00 USD,1.02319945 USDT/USD,Successful,N01461097334618259456030429
2024-03-02 02:31:44,Card (VISA/Mastercard),100.00 USD,95.76164454 USDT,2.00 USD,1.02337424 USDT/USD,Successful,N01460238272502486016030229
2024-03-02 02:27:07,Card (VISA/Mastercard),50.00 CHF,53.34188156 USDT,1.00 CHF,0.91860277 USDT/CHF,Successful,N01460237110529271808030229
2024-02-12 01:33:54,Card,120.00 CHF,129.55272281 USDT,2.40 CHF,0.90773854 USDT/CHF,Successful,N01453338347457982464021229
2024-02-10 02:01:30,Card,250.00 CHF,269.61906065 USDT,5.00 CHF,0.90868947 USDT/CHF,Successful,N01452620518026885120021029
2024-02-05 16:09:27,Card,250.00 CHF,271.40541094 USDT,5.00 CHF,0.90270861 USDT/CHF,Successful,N01451021971301040128020529
2024-01-05 18:23:47,Card,15.75 CHF,17.54021611 USDT,0.32 CHF,0.8796927 USDT/CHF,Successful,N01439821756426469376010529
