Date(UTC+1),Method,Spend Amount,Receive Amount,Fee,Price,Status,Transaction ID
2022-12-25 20:57:29,Credit Card,43.00 CHF,44.01536553 BUSD,0.86 CHF,0.95739294 BUSD/CHF,Successful,N01303602599796658176122529
2022-12-22 10:38:26,Credit Card,500.00 CHF,511.82559468 USDT,10.00 CHF,0.95735736 USDT/CHF,Successful,N01302359643727032320122229
2022-12-22 01:40:10,Credit Card,1500.00 CHF,1531.58510866 USDT,30.00 CHF,0.95978995 USDT/CHF,Successful,N01302224187098081280122229
2022-11-25 12:18:32,Credit Card,58.00 CHF,58.16317854 USDT,1.16 CHF,0.97725058 USDT/CHF,Successful,N01292600363427653632112529
2022-11-25 09:45:10,Credit Card,200.00 CHF,200.73676628 USDT,4.00 CHF,0.9764031 USDT/CHF,Successful,N01292561766188146688112529
2022-11-25 09:44:10,Credit Card,200.00 CHF,200.6808756 USDT,4.00 CHF,0.97667503 USDT/CHF,Failed,N01292561516903882752112529
2022-11-25 01:51:44,Credit Card,2000.00 CHF,2004.89293671 USDT,40.00 CHF,0.97760831 USDT/CHF,Successful,N01292442623459806208112529
2022-11-22 08:10:03,Credit Card,170.00 GHS,11.02353015 USDT,3.40 GHS,15.11312599 USDT/GHS,Successful,N01291450667728442368112229
2022-11-22 08:05:53,Credit Card,9000.00 NGN,18.11727292 USDT,180.00 NGN,486.82823507 USDT/NGN,Failed,N01291449618049332224112229
2022-11-20 10:16:04,Credit Card,25.00 CHF,24.80288889 USDT,0.51 CHF,0.98738498 USDT/CHF,Successful,N01290757604634834944112029
2022-10-27 11:56:54,Credit Card,50.00 CHF,48.24308713 USDT,1.00 CHF,1.01568956 USDT/CHF,Successful,N01282085672885335040102729
2022-10-27 07:25:11,Credit Card,479.00 CHF,463.90644971 USDT,9.58 CHF,1.01188505 USDT/CHF,Successful,N01282017291205258240102729
2022-10-26 17:54:17,Credit Card,750.00 CHF,726.3697991 USDT,15.00 CHF,1.01188128 USDT/CHF,Successful,N01281813222633142272102629
2022-10-26 09:22:56,Credit Card,500.00 CHF,483.200942 USDT,10.00 CHF,1.01407087 USDT/CHF,Successful,N01281684537833844736102629
2022-10-26 09:10:08,Credit Card,620.00 CHF,599.67811836 USDT,12.40 CHF,1.01321022 USDT/CHF,Successful,N01281681316272828416102629
2022-09-30 13:53:07,Credit Card,39.00 CHF,38.05909587 USDT,0.78 CHF,1.00422774 USDT/CHF,Successful,N01272330447999798272093029
2022-09-30 12:51:43,Credit Card,190.00 CHF,185.07106471 USDT,3.80 CHF,1.00610001 USDT/CHF,Successful,N01272314992597736448093029
2022-09-30 11:53:35,Credit Card,700.00 CHF,683.22381159 USDT,14.00 CHF,1.00406337 USDT/CHF,Successful,N01272300364002036736093029
2022-09-30 11:51:33,Credit Card,700.00 CHF,683.22381159 USDT,14.00 CHF,1.00406337 USDT/CHF,Failed,N01272299851042851840093029
2022-09-29 10:08:35,Credit Card,900.00 CHF,875.16426462 USDT,18.00 CHF,1.0078108 USDT/CHF,Successful,N01271911553468279808092929
2022-09-29 05:32:27,Credit Card,700.00 CHF,683.09692616 USDT,14.00 CHF,1.00424987 USDT/CHF,Successful,N01271842063036516352092929
2022-09-27 14:26:40,Credit Card,500.00 CHF,478.92516035 USDT,10.00 CHF,1.02312436 USDT/CHF,Successful,N01271251727570487296092729
2022-09-27 01:22:02,Credit Card,2000.00 CHF,1908.52223068 USDT,40.00 CHF,1.02697258 USDT/CHF,Successful,N01271054267589908480092729
2022-09-27 01:20:46,Credit Card,2000.00 CHF,1908.68212059 USDT,40.00 CHF,1.02688655 USDT/CHF,Successful,N01271053949313542144092729
2022-09-27 01:17:37,Credit Card,2000.00 CHF,1907.44648799 USDT,40.00 CHF,1.02755176 USDT/CHF,Failed,N01271053154543263744092729
2022-09-27 01:12:19,Credit Card,1000.00 CHF,953.71767626 USDT,20.00 CHF,1.02755776 USDT/CHF,Failed,N01271051820033173504092729
2022-09-27 01:10:05,Credit Card,2000.00 CHF,1907.3426891 USDT,40.00 CHF,1.02760768 USDT/CHF,Failed,N01271051259367971840092729
2022-09-27 01:09:23,Credit Card,2000.00 CHF,1907.50286626 USDT,40.00 CHF,1.02752139 USDT/CHF,Failed,N01271051080870976512092729
2022-09-27 01:08:58,Credit Card,2000.00 CHF,1907.02799403 USDT,40.00 CHF,1.02777726 USDT/CHF,Failed,N01271050975803657216092729
2022-09-15 06:52:03,Credit Card,26.55 CHF,26.05339303 USDT,0.53 CHF,0.99871828 USDT/CHF,Successful,N01266788661885708288091529
2022-09-14 18:36:12,Credit Card,40.00 CHF,39.35507784 USDT,0.80 CHF,0.99605952 USDT/CHF,Failed,N01266603480000281600091429
2022-09-14 17:29:11,Credit Card,460.00 CHF,452.85926105 USDT,9.20 CHF,0.99545276 USDT/CHF,Successful,N01266586614724864000091429
2022-09-14 17:26:37,Credit Card,500.00 CHF,492.23832723 USDT,10.00 CHF,0.99545276 USDT/CHF,Failed,N01266585970098080768091429
2022-09-14 17:25:21,Credit Card,400.00 CHF,393.80942509 USDT,8.00 CHF,0.99540533 USDT/CHF,Failed,N01266585649821039616091429
2022-09-14 17:22:36,Credit Card,40.00 CHF,39.37700442 USDT,0.80 CHF,0.99550488 USDT/CHF,Successful,N01266584956506774528091429
2022-09-14 17:19:17,Credit Card,590.00 CHF,580.73003996 USDT,11.80 CHF,0.99564335 USDT/CHF,Failed,N01266584125116037120091429
2022-09-14 17:18:28,Credit Card,540.00 CHF,531.60500084 USDT,10.80 CHF,0.99547596 USDT/CHF,Failed,N01266583918798219264091429
2022-09-14 17:17:34,Credit Card,540.00 CHF,531.60500084 USDT,10.80 CHF,0.99547596 USDT/CHF,Failed,N01266583693396319232091429
2022-09-14 09:50:58,Credit Card,40.00 CHF,39.41652179 USDT,0.80 CHF,0.99450683 USDT/CHF,Successful,N01266471299714146304091429
2022-09-13 20:57:49,Credit Card,50.00 CHF,49.20219888 USDT,1.00 CHF,0.99589045 USDT/CHF,Successful,N01266276730015874048091329
2022-09-13 20:57:06,Credit Card,220.00 CHF,216.51132621 USDT,4.40 CHF,0.99579086 USDT/CHF,Failed,N01266276551078468608091329
2022-09-13 19:10:57,Credit Card,250.00 CHF,246.26385723 USDT,5.00 CHF,0.99486787 USDT/CHF,Successful,N01266249838701334528091329
2022-09-12 19:15:03,Credit Card,130.00 CHF,128.94778757 USDT,2.60 CHF,0.98799679 USDT/CHF,Successful,N01265888481413975040091229
2022-09-12 19:14:02,Credit Card,130.00 CHF,129.02752096 USDT,2.60 CHF,0.98738625 USDT/CHF,Failed,N01265888227834752000091229
