Time,Type,Amount,Asset,Symbol,Transaction ID
21-01-30 22:17:59,REALIZED_PNL,-8.392191,USDT,DOGEUSDT,9065044449292
21-01-30 22:17:59,COMMISSION,-0.10619796,USDT,DOGEUSDT,9065044449292
21-01-30 22:19:13,COMMISSION,-0.02439926,USDT,DOGEUSDT,9065144455313
21-01-30 22:22:25,INSURANCE_CLEAR,-0.34256961,USDT,DOGEUSDT,4079939805791272960
21-01-30 22:22:25,REALIZED_PNL,-2.228364,USDT,DOGEUSDT,9065044470834
21-02-07 00:15:12,TRANSFER,67.3034614,USDT,,40662884578
21-02-07 00:15:40,COMMISSION,-3.35065435,USDT,BTCUSDT,90030474193006
21-02-07 00:22:44,COMMISSION,-0.45255078,USDT,BTCUSDT,90030474205887
21-02-07 00:24:29,COMMISSION,-0.61334371,USDT,BTCUSDT,90030474208695
21-02-07 00:51:22,COMMISSION,-2.36208949,USDT,BTCUSDT,90030474236908
21-02-07 01:05:25,REALIZED_PNL,86.10354761,USDT,BTCUSDT,90031474268606
21-02-07 01:05:25,COMMISSION,-3.1934816,USDT,BTCUSDT,90031474268606
21-02-07 01:05:25,REALIZED_PNL,94.71390237,USDT,BTCUSDT,90031474268607
21-02-07 01:05:25,COMMISSION,-3.51282976,USDT,BTCUSDT,90031474268607
21-02-07 01:05:34,COMMISSION,-7.26102832,USDT,BTCUSDT,90031474268794
21-02-07 01:05:34,COMMISSION,-0.07979152,USDT,BTCUSDT,90031474268796
21-02-07 01:05:34,COMMISSION,-1.13304185,USDT,BTCUSDT,90031474268797
21-02-07 01:05:34,COMMISSION,-0.5745456,USDT,BTCUSDT,90031474268799
21-02-07 01:05:34,COMMISSION,-1.50020202,USDT,BTCUSDT,90031474268798
21-02-07 01:05:34,COMMISSION,-0.49470742,USDT,BTCUSDT,90031474268795
21-02-07 01:10:08,REALIZED_PNL,-0.18337552,USDT,BTCUSDT,90030474275546
21-02-07 01:10:08,REALIZED_PNL,-4.02634144,USDT,BTCUSDT,90030474275545
21-02-07 01:10:08,COMMISSION,-0.19062768,USDT,BTCUSDT,90030474275540
21-02-07 01:10:08,COMMISSION,-0.15886,USDT,BTCUSDT,90030474275533
21-02-07 01:10:08,REALIZED_PNL,-1.8137552,USDT,BTCUSDT,90030474275530
21-02-07 01:10:08,COMMISSION,-0.15886,USDT,BTCUSDT,90030474275530
21-02-07 01:10:08,REALIZED_PNL,-1.08039312,USDT,BTCUSDT,90030474275524
21-02-07 01:10:08,COMMISSION,-0.81017641,USDT,BTCUSDT,90030474275537
21-02-07 01:10:08,REALIZED_PNL,-0.18211552,USDT,BTCUSDT,90030474275539
21-02-07 01:10:08,COMMISSION,-0.01588684,USDT,BTCUSDT,90030474275521
21-02-07 01:10:08,REALIZED_PNL,-1.99161072,USDT,BTCUSDT,90030474275527
21-02-07 01:10:08,COMMISSION,-1.23918912,USDT,BTCUSDT,90030474275518
21-02-07 01:10:08,REALIZED_PNL,-13.94449057,USDT,BTCUSDT,90030474275518
21-02-07 01:10:08,REALIZED_PNL,-1.63381968,USDT,BTCUSDT,90030474275536
21-02-07 01:10:08,COMMISSION,-1.683916,USDT,BTCUSDT,90030474275531
21-02-07 01:10:08,COMMISSION,-0.01588562,USDT,BTCUSDT,90030474275541
21-02-07 01:10:08,REALIZED_PNL,-1.25562864,USDT,BTCUSDT,90030474275522
21-02-07 01:10:08,COMMISSION,-0.14297342,USDT,BTCUSDT,90030474275536
21-02-07 01:10:08,COMMISSION,-0.09531427,USDT,BTCUSDT,90030474275538
21-02-07 01:10:08,COMMISSION,-0.0794332,USDT,BTCUSDT,90030474275523
21-02-07 01:10:08,REALIZED_PNL,-0.18242552,USDT,BTCUSDT,90030474275543
21-02-07 01:10:08,COMMISSION,-0.33362397,USDT,BTCUSDT,90030474275520
21-02-07 01:10:08,REALIZED_PNL,-0.36235104,USDT,BTCUSDT,90030474275529
21-02-07 01:10:08,REALIZED_PNL,-1.8137552,USDT,BTCUSDT,90030474275532
21-02-07 01:10:08,COMMISSION,-0.06354156,USDT,BTCUSDT,90030474275544
21-02-07 01:10:08,REALIZED_PNL,-19.22580514,USDT,BTCUSDT,90030474275531
21-02-07 01:10:08,REALIZED_PNL,-0.18111552,USDT,BTCUSDT,90030474275528
21-02-07 01:10:08,COMMISSION,-0.61956226,USDT,BTCUSDT,90030474275526
21-02-07 01:10:08,REALIZED_PNL,-3.76394592,USDT,BTCUSDT,90030474275520
21-02-07 01:10:08,COMMISSION,-2.89107072,USDT,BTCUSDT,90030474275547
21-02-07 01:10:08,REALIZED_PNL,-0.18230552,USDT,BTCUSDT,90030474275542
21-02-07 01:10:08,REALIZED_PNL,-0.8951276,USDT,BTCUSDT,90030474275519
21-02-07 01:10:08,COMMISSION,-0.09531914,USDT,BTCUSDT,90030474275524
21-02-07 01:10:08,REALIZED_PNL,-0.73158208,USDT,BTCUSDT,90030474275544
21-02-07 01:10:08,COMMISSION,-0.1747474,USDT,BTCUSDT,90030474275527
21-02-07 01:10:08,COMMISSION,-0.0794347,USDT,BTCUSDT,90030474275519
21-02-07 01:10:08,COMMISSION,-0.01588519,USDT,BTCUSDT,90030474275546
21-02-07 01:10:08,REALIZED_PNL,-0.17927552,USDT,BTCUSDT,90030474275521
21-02-07 01:10:08,REALIZED_PNL,-7.05297528,USDT,BTCUSDT,90030474275526
21-02-07 01:10:08,COMMISSION,-0.07942979,USDT,BTCUSDT,90030474275534
21-02-07 01:10:08,COMMISSION,-0.03177216,USDT,BTCUSDT,90030474275529
21-02-07 01:10:08,COMMISSION,-0.34947756,USDT,BTCUSDT,90030474275545
21-02-07 01:10:08,COMMISSION,-0.01588562,USDT,BTCUSDT,90030474275542
21-02-07 01:10:08,REALIZED_PNL,-9.27412153,USDT,BTCUSDT,90030474275537
21-02-07 01:10:08,REALIZED_PNL,-0.36141104,USDT,BTCUSDT,90030474275525
21-02-07 01:10:08,COMMISSION,-0.03177253,USDT,BTCUSDT,90030474275525
21-02-07 01:10:08,COMMISSION,-0.1112076,USDT,BTCUSDT,90030474275522
21-02-07 01:10:08,COMMISSION,-0.0158861,USDT,BTCUSDT,90030474275528
21-02-07 01:10:08,REALIZED_PNL,-33.46352468,USDT,BTCUSDT,90030474275547
21-02-07 01:10:08,REALIZED_PNL,-0.9073776,USDT,BTCUSDT,90030474275534
21-02-07 01:10:08,REALIZED_PNL,-0.8988776,USDT,BTCUSDT,90030474275523
21-02-07 01:10:08,COMMISSION,-0.0158857,USDT,BTCUSDT,90030474275539
21-02-07 01:10:08,REALIZED_PNL,-1.8137552,USDT,BTCUSDT,90030474275533
21-02-07 01:10:08,REALIZED_PNL,-0.18230552,USDT,BTCUSDT,90030474275541
21-02-07 01:10:08,COMMISSION,-1.30264773,USDT,BTCUSDT,90030474275535
21-02-07 01:10:08,REALIZED_PNL,-14.88345265,USDT,BTCUSDT,90030474275535
21-02-07 01:10:08,COMMISSION,-0.01588558,USDT,BTCUSDT,90030474275543
21-02-07 01:10:08,REALIZED_PNL,-2.18730624,USDT,BTCUSDT,90030474275540
21-02-07 01:10:08,REALIZED_PNL,-1.09257312,USDT,BTCUSDT,90030474275538
21-02-07 01:10:08,COMMISSION,-0.15886,USDT,BTCUSDT,90030474275532
21-02-07 01:10:36,COMMISSION,-0.28554962,USDT,BTCUSDT,90031474286794
21-02-07 01:10:36,COMMISSION,-2.8079811,USDT,BTCUSDT,90031474286796
21-02-07 01:10:36,COMMISSION,-0.74560179,USDT,BTCUSDT,90031474286795
21-02-07 01:14:43,COMMISSION,-3.81876,USDT,BTCUSDT,90030474304751
21-02-07 01:14:43,REALIZED_PNL,-50.9313,USDT,BTCUSDT,90030474304751
21-02-07 01:15:14,COMMISSION,-1.22773622,USDT,BTCUSDT,90031474313395
21-02-07 01:15:14,COMMISSION,-0.0157402,USDT,BTCUSDT,90031474313396
21-02-07 01:15:21,COMMISSION,-0.09443191,USDT,BTCUSDT,90031474314384
21-02-07 01:16:35,COMMISSION,-0.7119,USDT,BTCUSDT,90031474320229
21-02-07 01:20:26,REALIZED_PNL,-2.66904969,USDT,BTCUSDT,90030474330929
21-02-07 01:20:26,INSURANCE_CLEAR,-22.11711931,USDT,BTCUSDT,4105754968448450560
21-02-07 01:20:26,REALIZED_PNL,-1.6077503,USDT,BTCUSDT,90030474330928
21-02-07 20:28:16,TRANSFER,192.89103448,USDT,,40736715955
21-02-07 20:40:32,COMMISSION,-2.34627685,USDT,BTCUSDT,90031476867879
21-02-07 20:40:32,COMMISSION,-1.81303211,USDT,BTCUSDT,90031476867880
21-02-07 20:40:32,COMMISSION,-0.68560038,USDT,BTCUSDT,90031476867877
21-02-07 20:40:32,COMMISSION,-0.68560038,USDT,BTCUSDT,90031476867878
21-02-07 21:32:42,COMMISSION,-0.27636119,USDT,BTCUSDT,90030476943801
21-02-07 21:32:42,REALIZED_PNL,73.84,USDT,BTCUSDT,90030476943800
21-02-07 21:32:42,REALIZED_PNL,20.91589,USDT,BTCUSDT,90030476943803
21-02-07 21:32:42,COMMISSION,-3.838427,USDT,BTCUSDT,90030476943800
21-02-07 21:32:42,REALIZED_PNL,7.07016,USDT,BTCUSDT,90030476943802
21-02-07 21:32:42,COMMISSION,-1.0900914,USDT,BTCUSDT,90030476943803
21-02-07 21:32:42,COMMISSION,-0.3684816,USDT,BTCUSDT,90030476943802
21-02-07 21:32:42,REALIZED_PNL,5.30262,USDT,BTCUSDT,90030476943801
21-02-07 21:32:49,COMMISSION,-0.13818059,USDT,BTCUSDT,90031476943913
21-02-07 21:32:49,COMMISSION,-0.9366062,USDT,BTCUSDT,90031476943918
21-02-07 21:32:49,COMMISSION,-1.19762385,USDT,BTCUSDT,90031476943916
21-02-07 21:32:49,COMMISSION,-2.14957176,USDT,BTCUSDT,90031476943915
21-02-07 21:32:49,COMMISSION,-1.0594213,USDT,BTCUSDT,90031476943914
21-02-07 21:32:49,COMMISSION,-0.69094044,USDT,BTCUSDT,90031476943920
21-02-07 21:32:49,COMMISSION,-0.92125344,USDT,BTCUSDT,90031476943919
21-02-07 21:32:49,COMMISSION,-1.09014536,USDT,BTCUSDT,90031476943917
21-02-07 22:00:45,COMMISSION,-0.21269024,USDT,BTCUSDT,90030476981426
21-02-07 22:00:45,COMMISSION,-0.03038434,USDT,BTCUSDT,90030476981425
21-02-07 22:00:45,REALIZED_PNL,-3.23444757,USDT,BTCUSDT,90030476981424
21-02-07 22:00:45,COMMISSION,-7.53544428,USDT,BTCUSDT,90030476981423
21-02-07 22:00:45,REALIZED_PNL,-5.66840326,USDT,BTCUSDT,90030476981426
21-02-07 22:00:45,REALIZED_PNL,-200.49110994,USDT,BTCUSDT,90030476981423
21-02-07 22:00:45,COMMISSION,-0.197496,USDT,BTCUSDT,90030476981427
21-02-07 22:00:45,REALIZED_PNL,-5.26871731,USDT,BTCUSDT,90030476981427
21-02-07 22:00:45,REALIZED_PNL,-0.80971189,USDT,BTCUSDT,90030476981425
21-02-07 22:00:45,COMMISSION,-0.12153913,USDT,BTCUSDT,90030476981424
21-02-07 22:01:27,COMMISSION,-0.30291504,USDT,BTCUSDT,90031476986594
21-02-07 22:01:27,COMMISSION,-0.77251311,USDT,BTCUSDT,90031476986596
21-02-07 22:01:27,COMMISSION,-0.54529862,USDT,BTCUSDT,90031476986595
21-02-07 22:49:04,REALIZED_PNL,11.00043738,USDT,BTCUSDT,90030477070108
21-02-07 22:49:04,REALIZED_PNL,47.85190261,USDT,BTCUSDT,90030477070107
21-02-07 22:49:04,COMMISSION,-1.33692795,USDT,BTCUSDT,90030477070107
21-02-07 22:49:04,COMMISSION,-0.30733976,USDT,BTCUSDT,90030477070108
21-02-07 23:19:27,COMMISSION,-0.80037339,USDT,BTCUSDT,90031477116095
21-02-07 23:19:27,COMMISSION,-0.33861951,USDT,BTCUSDT,90031477116096
21-02-07 23:19:27,COMMISSION,-1.60074678,USDT,BTCUSDT,90031477116094
21-02-07 23:19:27,COMMISSION,-0.44636208,USDT,BTCUSDT,90031477116093
21-02-08 02:00:00,FUNDING_FEE,-4.76536346,USDT,BTCUSDT,410947844975824980
21-02-08 05:53:31,COMMISSION,-0.93037834,USDT,BTCUSDT,90030477636371
21-02-08 05:53:31,REALIZED_PNL,-12.57228,USDT,BTCUSDT,90030477636369
21-02-08 05:53:31,REALIZED_PNL,-21.30303,USDT,BTCUSDT,90030477636371
21-02-08 05:53:31,COMMISSION,-1.67773144,USDT,BTCUSDT,90030477636370
21-02-08 05:53:31,COMMISSION,-0.54907574,USDT,BTCUSDT,90030477636369
21-02-08 05:53:31,REALIZED_PNL,-38.4153,USDT,BTCUSDT,90030477636370
21-02-08 15:50:19,COMMISSION,-0.76951776,USDT,BTCUSDT,90030479363125
21-02-08 15:50:19,COMMISSION,-0.06995614,USDT,BTCUSDT,90030479363126
21-02-08 15:50:41,REALIZED_PNL,-4.57923999,USDT,BTCUSDT,90031479368050
21-02-08 15:50:41,COMMISSION,-0.8413056,USDT,BTCUSDT,90031479368050
21-02-08 15:50:48,COMMISSION,-0.630576,USDT,BTCUSDT,90031479368849
21-02-08 15:55:09,INSURANCE_CLEAR,-4.878,USDT,BTCUSDT,4111580134571130880
21-02-08 15:55:09,REALIZED_PNL,-15.61572,USDT,BTCUSDT,90030479403150
21-02-09 07:50:01,TRANSFER,28.93365517,USDT,,40875137328
21-02-09 07:53:59,COMMISSION,-0.377064,USDT,BTCUSDT,90030482752356
21-02-09 07:53:59,COMMISSION,-0.2262371,USDT,BTCUSDT,90030482752357
21-02-09 08:40:21,TRANSFER,96.40689655,USDT,,40878329058
21-02-09 08:47:09,COMMISSION,-0.61312,USDT,BTCUSDT,90031482933911
21-02-09 08:47:09,REALIZED_PNL,-24.54724,USDT,BTCUSDT,90031482933911
21-02-09 08:47:59,COMMISSION,-1.5529375,USDT,BTCUSDT,90031482939363
21-02-09 08:47:59,COMMISSION,-0.34508419,USDT,BTCUSDT,90031482939362
21-02-09 10:00:00,FUNDING_FEE,-8.79409044,USDT,BTCUSDT,411431028729516123
21-02-09 10:17:00,INSURANCE_CLEAR,-16.72300191,USDT,BTCUSDT,4114353018850918400
21-02-09 10:17:00,REALIZED_PNL,-69.80300999,USDT,BTCUSDT,90030483261795
21-02-09 10:17:16,COMMISSION,-0.07565579,USDT,BTCUSDT,90031483267412
21-02-09 10:17:54,COMMISSION,-0.09468322,USDT,BTCUSDT,90031483270866
21-02-09 10:18:05,COMMISSION,-0.01892078,USDT,BTCUSDT,90031483272191
21-02-09 10:22:15,REALIZED_PNL,-1.84958,USDT,BTCUSDT,90030483289387
21-02-09 10:22:15,INSURANCE_CLEAR,-2.28460782,USDT,BTCUSDT,4114366263204659200
21-02-09 16:24:47,TRANSFER,57.89627586,USDT,,40915421298
21-02-09 16:25:59,COMMISSION,-0.45787118,USDT,ETHUSDT,90061327795445
21-02-09 16:31:10,COMMISSION,-0.7488407,USDT,ETHUSDT,90061327799807
21-02-09 17:59:49,COMMISSION,-0.48591659,USDT,ETHUSDT,90061327910705
21-02-09 17:59:49,COMMISSION,-1.0312473,USDT,ETHUSDT,90061327910704
21-02-09 18:00:00,FUNDING_FEE,-9.77930122,USDT,ETHUSDT,411551826769285122
21-02-09 18:02:18,COMMISSION,-2.72432487,USDT,ETHUSDT,90060327921321
21-02-09 18:02:18,REALIZED_PNL,1.12275,USDT,ETHUSDT,90060327921321
21-02-09 18:04:14,COMMISSION,-1.65617737,USDT,ETHUSDT,90061327928397
21-02-09 18:17:20,REALIZED_PNL,-20.75244,USDT,ETHUSDT,90060327963372
21-02-09 18:17:20,COMMISSION,-1.6478764,USDT,ETHUSDT,90060327963372
21-02-09 18:17:50,COMMISSION,-0.70742856,USDT,ETHUSDT,90061327968479
21-02-09 18:20:31,REALIZED_PNL,-11.0962,USDT,ETHUSDT,90060327978752
21-02-09 18:20:31,COMMISSION,-0.70299008,USDT,ETHUSDT,90060327978752
21-02-09 18:21:32,COMMISSION,-0.2677204,USDT,ETHUSDT,90061327984703
21-02-09 18:36:07,COMMISSION,-0.26984581,USDT,ETHUSDT,90060328016215
21-02-09 18:36:07,REALIZED_PNL,5.31351,USDT,ETHUSDT,90060328016215
21-02-09 18:36:28,COMMISSION,-0.00069936,USDT,ETHUSDT,90060328017164
21-02-09 18:36:28,COMMISSION,-0.46996992,USDT,ETHUSDT,90060328017165
21-02-09 19:39:13,REALIZED_PNL,3.23361,USDT,ETHUSDT,90061328111542
21-02-09 19:39:13,COMMISSION,-0.27372125,USDT,ETHUSDT,90061328111541
