Time,Type,Amount,Asset,Symbol,Transaction ID
23-11-01 08:44:41,DEPOSIT,0.000005,BTC,,145409288698
23-11-01 10:47:05,WITHDRAW,-0.000005,BTC,,145414800062
23-12-11 22:33:28,DEPOSIT,0.00294257,BNB,,148800779154
23-12-11 22:33:39,COMMISSION,-0.00002049,BNB,BNBUSD_PERP,90170218102162
23-12-12 00:00:00,FUNDING_FEE,0.00000176,BNB,BNBUSD_PERP,7867440565316405630
23-12-12 16:00:00,FUNDING_FEE,0.00001832,BNB,BNBUSD_PERP,7869856497926063310
23-12-12 16:26:05,INSURANCE_CLEAR,-0.00038995,BNB,BNBUSD_PERP,786992214197133312
23-12-12 16:26:05,REALIZED_PNL,-0.00199316,BNB,BNBUSD_PERP,90171218299562
