"Uid","Time(UTC)","Order No","Symbol","Type","Side","Position Side","Price","Average Price","Amount","Executed Amount","Executed Quote Amount","Stop Price","Status","Client Order Id","Time In Force","Activate Price","Price Rate","Working Type","Price Protect","Update Time"
"11207629","2024-01-05 17:30:08","2985319362","ARPAUSDT","MARKET","SELL","BOTH","0E-8","0.07133534","4931.00000000","4931.00000000","351.75455000","0E-8","FILLED","android_PGZQHIvz6kpifWeHPSgI","GTC","0E-8","0E-8","Contract Price","false","2024-01-05 17:30:08"
"11207629","2024-01-05 17:30:32","2985323027","ARPAUSDT","STOP_MARKET","BUY","BOTH","0E-8",,"0E-8","0E-8","0E-8","0.07187000","CANCELED","android_VhJFydJHfTcUykzjMt5q","GTE_GTC","0E-8","0E-8","markPrice","true","2024-01-05 17:48:32"
"11207629","2024-01-05 17:31:23","2985328926","ARPAUSDT","MARKET","SELL","BOTH","0E-8","0.07091000","541.00000000","541.00000000","38.36231000","0E-8","FILLED","android_ooIrKy1KwmGmiMTikzg9","GTC","0E-8","0E-8","Contract Price","false","2024-01-05 17:31:23"
"11207629","2024-01-05 17:31:55","2985336093","ARPAUSDT","MARKET","SELL","BOTH","0E-8","0.07074000","336.00000000","336.00000000","23.76864000","0E-8","FILLED","android_YgPanyMZ2p2FTu6IjoWd","GTC","0E-8","0E-8","Contract Price","false","2024-01-05 17:31:55"
"11207629","2024-01-05 17:32:23","2985340856","ARPAUSDT","STOP_MARKET","BUY","BOTH","0E-8",,"0E-8","0E-8","0E-8","0.06000000","CANCELED","android_TZnBfdfGNX0iwai6MSFa","GTE_GTC","0E-8","0E-8","Contract Price","true","2024-01-05 17:54:33"
"11207629","2024-01-05 17:48:32","2985542892","ARPAUSDT","STOP_MARKET","BUY","BOTH","0E-8",,"0E-8","0E-8","0E-8","0.07200000","CANCELED","android_9swg3EyAINs59o1yZ8YF","GTE_GTC","0E-8","0E-8","markPrice","true","2024-01-05 17:54:12"
"11207629","2024-01-05 17:54:12","2985583342","ARPAUSDT","STOP_MARKET","BUY","BOTH","0E-8",,"0E-8","0E-8","0E-8","0.07250000","CANCELED","android_MjmdYgDoWoAMdqUKACh4","GTE_GTC","0E-8","0E-8","markPrice","true","2024-01-05 19:02:32"
"11207629","2024-01-05 17:54:34","2985586299","ARPAUSDT","STOP_MARKET","BUY","BOTH","0E-8",,"0E-8","0E-8","0E-8","0.06200000","EXPIRED","android_IZMsBK8TKPcSMkA4X40C","GTE_GTC","0E-8","0E-8","Contract Price","true","2024-01-05 19:04:10"
"11207629","2024-01-05 19:02:23","2985967078","ARPAUSDT","LIMIT","SELL","BOTH","0.06982000","0.06982000","1705.00000000","1705.00000000","119.04310000","0E-8","FILLED","android_dftU4XlsFeft7Eaq7JOM","GTC","0E-8","0E-8","Contract Price","false","2024-01-05 19:02:26"
"11207629","2024-01-05 19:02:33","2985968382","ARPAUSDT","STOP_MARKET","BUY","BOTH","0E-8",,"0E-8","0E-8","0E-8","0.07150000","CANCELED","android_05ve6caoiyyKZiW7gKKm","GTE_GTC","0E-8","0E-8","markPrice","true","2024-01-05 19:02:56"
"11207629","2024-01-05 19:02:48","2985985931","ARPAUSDT","LIMIT","SELL","BOTH","0.06982000",,"2026.00000000","0E-8","0E-8","0E-8","CANCELED","android_pRCjhIwWd0RDbSzYsuFD","GTC","0E-8","0E-8","Contract Price","false","2024-01-05 19:03:08"
"11207629","2024-01-05 19:02:57","2985991721","ARPAUSDT","STOP_MARKET","BUY","BOTH","0E-8",,"0E-8","0E-8","0E-8","0.07050000","CANCELED","android_NiQZqWiwCvZYjJM9jOlT","GTE_GTC","0E-8","0E-8","markPrice","true","2024-01-05 19:03:28"
"11207629","2024-01-05 19:03:15","2986005019","ARPAUSDT","MARKET","SELL","BOTH","0E-8","0.06728000","1750.00000000","1750.00000000","117.74000000","0E-8","FILLED","android_pcpi38wJlxzbxIWYeM5B","GTC","0E-8","0E-8","Contract Price","false","2024-01-05 19:03:15"
"11207629","2024-01-05 19:03:28","2986011821","ARPAUSDT","STOP_MARKET","BUY","BOTH","0E-8",,"0E-8","0E-8","0E-8","0.07000000","EXPIRED","android_0RQyZ5HY9TGRQCBj8gEE","GTE_GTC","0E-8","0E-8","markPrice","true","2024-01-05 19:04:10"
"11207629","2024-01-05 19:04:10","2986023085","ARPAUSDT","MARKET","BUY","BOTH","0E-8","0.06739738","9263.00000000","9263.00000000","624.30197000","0E-8","FILLED","android_yHDW3ONvLyIh0EatrNlE","GTC","0E-8","0E-8","Contract Price","false","2024-01-05 19:04:10"
"11207629","2024-01-05 19:07:31","308066868","POWRUSDT","MARKET","SELL","BOTH","0E-8","0.74300000","1340.00000000","1340.00000000","995.62000000","0E-8","FILLED","android_34pKaUXPu9lfLEr2g75m","GTC","0E-8","0E-8","Contract Price","false","2024-01-05 19:07:31"
