seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,5120000,1.4037,7186944,1.333515,1.68444,1.68444,1434969.67464960,2419.12535040,closed,tp,1767225601589,1767225601589
0,sell,6400000,1.333515,8534496,1.4037,1.052775,1.333515,-2611.55577600,2611.55577600,canceled,,,
0,buy,8000000,1.4037,11229600,1.333515,1.68444,1.4037,-3436.25760000,3436.25760000,canceled,,,
0,sell,10000000,1.333515,13335150,1.4037,1.052775,1.333515,-4080.55590000,4080.55590000,canceled,,,
1,buy,5120000,1.6844,8624128,1.60018,2.02128,2.02128,1721922.71851520,2902.88148480,closed,tp,1767420671909,1767420671909
1,sell,6400000,1.60018,10241152,1.6844,1.2632999999999999,1.60018,-3133.79251200,3133.79251200,canceled,,,
1,buy,8000000,1.6844,13475200,1.60018,2.02128,1.6844,-4123.41120000,4123.41120000,canceled,,,
1,sell,10000000,1.60018,16001800,1.6844,1.2632999999999999,1.60018,-4896.55080000,4896.55080000,canceled,,,
2,sell,5120000,2.0214,10349568,2.12247,1.61712,1.61712,2067063.32897280,2850.27102720,closed,tp,1767701211042,1767701211042
2,buy,6400000,2.12247,13583808,2.0214,2.52675,2.12247,-4156.64524800,4156.64524800,canceled,,,
2,sell,8000000,2.0214,16171199.999999998,2.12247,1.61712,2.0214,-4948.38720000,4948.38720000,canceled,,,
2,buy,10000000,2.12247,21224700,2.0214,2.52675,2.12247,-6494.75820000,6494.75820000,canceled,,,
3,sell,5120000,1.617,8279040,1.69785,1.2936,1.2936,1653527.95238400,2280.04761600,closed,tp,1768780853500,1768780853500
3,buy,6400000,1.69785,10866240,1.617,2.02125,1.69785,-3325.06944000,3325.06944000,canceled,,,
3,sell,8000000,1.617,12936000,1.69785,1.2936,1.617,-3958.41600000,3958.41600000,canceled,,,
3,buy,10000000,1.69785,16978500,1.617,2.02125,1.69785,-5195.42100000,5195.42100000,canceled,,,
4,buy,5120000,1.2935,6622720.000000001,1.228825,1.5522,1.228825,-333111.88851200,1975.88851200,closed,sl,1769699528503,1769699528503
4,sell,6400000,1.228825,7864480,1.2935,0.970125,1.228825,-2406.53088000,2406.53088000,open,,1769699528503,
4,buy,8000000,1.2935,10348000,1.228825,1.5522,1.2935,-3166.48800000,3166.48800000,pending,,,
4,sell,10000000,1.228825,12288250,1.2935,0.970125,1.228825,-3760.20450000,3760.20450000,pending,,,
