"Uid","Time(UTC)","Symbol","Side","Position Side","Price","Quantity","Amount","Fee","Realized Profit","Buyer","Maker","Trade Id","Order Id"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23600000","17.71000000","500.05956000","-0.25002977 USDT","0E-8","true","false","86842779","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.22900000","2.80000000","79.04120000","-0.03952060 USDT","0E-8","true","false","86842767","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23300000","28.84000000","814.23972000","-0.40711986 USDT","0E-8","true","false","86842773","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.22500000","0.67000000","18.91075000","-0.00945537 USDT","0E-8","true","false","86842765","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.22000000","0.25000000","7.05500000","-0.00352750 USDT","0E-8","true","false","86842762","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23700000","16.21000000","457.72177000","-0.22886088 USDT","0E-8","true","false","86842783","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23100000","0.59000000","16.65629000","-0.00832814 USDT","0E-8","true","false","86842771","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23000000","0.25000000","7.05750000","-0.00352875 USDT","0E-8","true","false","86842769","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.21600000","0.18000000","5.07888000","-0.00253944 USDT","0E-8","true","false","86842760","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23200000","12.34000000","348.38288000","-0.17419144 USDT","0E-8","true","false","86842772","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23000000","5.20000000","146.79600000","-0.07339800 USDT","0E-8","true","false","86842768","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.22500000","0.59000000","16.65275000","-0.00832637 USDT","0E-8","true","false","86842764","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23400000","17.71000000","500.02414000","-0.25001206 USDT","0E-8","true","false","86842776","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.21600000","0.18000000","5.07888000","-0.00253944 USDT","0E-8","true","false","86842757","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.21600000","0.18000000","5.07888000","-0.00253944 USDT","0E-8","true","false","86842758","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.22200000","0.59000000","16.65098000","-0.00832549 USDT","0E-8","true","false","86842763","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.21600000","0.18000000","5.07888000","-0.00253944 USDT","0E-8","true","false","86842759","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23400000","13.50000000","381.15900000","-0.19057950 USDT","0E-8","true","false","86842775","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23700000","0.59000000","16.65983000","-0.00832991 USDT","0E-8","true","false","86842781","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23400000","0.59000000","16.65806000","-0.00832903 USDT","0E-8","true","false","86842774","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23000000","0.21000000","5.92830000","-0.00296415 USDT","0E-8","true","false","86842770","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23700000","13.50000000","381.19950000","-0.19059975 USDT","0E-8","true","false","86842782","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23600000","17.71000000","500.05956000","-0.25002977 USDT","0E-8","true","false","86842778","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.21600000","0.18000000","5.07888000","-0.00253944 USDT","0E-8","true","false","86842761","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23500000","7.97000000","225.03295000","-0.11251647 USDT","0E-8","true","false","86842777","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.22800000","0.59000000","16.65452000","-0.00832726 USDT","0E-8","true","false","86842766","2267239221"
"11207629","2025-01-03 10:50:40","GMXUSDT","BUY","BOTH","28.23600000","17.71000000","500.05956000","-0.25002977 USDT","0E-8","true","false","86842780","2267239221"
"11207629","2025-01-03 10:51:17","BTCUSDT","BUY","BOTH","96424.20000000","0.05400000","5206.90680000","-2.60345339 USDT","0E-8","true","false","5799049218","536280715607"
