seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,283245.9661345063,0.04368,12372.183800755232,0.0421512,0.048266399999999994,0.048266399999999994,1296.87602347,2.20327561,closed,tp,1767225601911,1767225601911
0,sell,377661.2881793417,0.0421512,15918.876490305069,0.04368,0.0375648,0.0421512,-2.69347390,2.69347390,canceled,,,
0,buy,503548.3842391223,0.04368,21994.993423564858,0.0421512,0.048266399999999994,0.04368,-3.72155288,3.72155288,canceled,,,
0,sell,671397.8456521629,0.0421512,28300.22487165345,0.04368,0.0375648,0.0421512,-4.78839804,4.78839804,canceled,,,
0,buy,895197.1275362172,0.04368,39102.210530781966,0.0421512,0.048266399999999994,0.04368,-6.61609402,6.61609402,canceled,,,
0,sell,1193596.1700482895,0.0421512,50311.51088293946,0.04368,0.0375648,0.0421512,-8.51270764,8.51270764,canceled,,,
1,buy,289432.64969291165,0.04829,13976.702653670704,0.04659985,0.05336045,0.05336045,1465.06476551,2.48901313,closed,tp,1767506170035,1767506170035
1,sell,385910.1995905489,0.04659985,17983.357414389637,0.04829,0.0415294,0.04659985,-3.04278408,3.04278408,canceled,,,
1,buy,514546.93278739846,0.04829,24847.47138430347,0.04659985,0.05336045,0.04829,-4.20419216,4.20419216,canceled,,,
1,sell,686062.5770498645,0.04659985,31970.413181137126,0.04829,0.0415294,0.04659985,-5.40939392,5.40939392,canceled,,,
1,buy,914750.1027331527,0.04829,44173.282460983944,0.04659985,0.05336045,0.04829,-7.47411940,7.47411940,canceled,,,
1,sell,1219666.8036442033,0.04659985,56836.29009979933,0.04829,0.0415294,0.04659985,-9.61670028,9.61670028,canceled,,,
2,sell,295403.32478119835,0.05345,15789.30770955505,0.055320749999999995,0.04783775,0.055320749999999995,-555.34407283,2.71830300,closed,sl,1767657602209,1767657602209
2,buy,393871.09970826446,0.055320749999999995,21789.24463918597,0.05345,0.060932999999999994,0.05345,-740.45876379,3.62440401,closed,sl,1767657602209,1767657602209
2,sell,525161.466277686,0.05345,28069.880372542313,0.055320749999999995,0.04783775,0.04783775,2942.83736011,4.50007901,closed,tp,1767657602209,1767657602209
2,buy,700215.2883702478,0.055320749999999995,38736.43491410838,0.05345,0.060932999999999994,0.055320749999999995,-6.55420478,6.55420478,canceled,,,
2,sell,933620.3844936637,0.05345,49902.00955118632,0.055320749999999995,0.04783775,0.05345,-8.44342002,8.44342002,canceled,,,
2,buy,1244827.179324885,0.055320749999999995,68864.77318063712,0.05345,0.060932999999999994,0.055320749999999995,-11.65191962,11.65191962,canceled,,,
3,sell,372561.1096055904,0.04785,17827.0490946275,0.04952475,0.042825749999999996,0.042825749999999996,1868.98217591,2.85797903,closed,tp,1767795537463,1767795537463
3,buy,496748.14614078717,0.04952475,24601.327750585948,0.04785,0.054549,0.04952475,-4.16254466,4.16254466,canceled,,,
3,sell,662330.8615210495,0.04785,31692.531723782216,0.04952475,0.042825749999999996,0.04785,-5.36237636,5.36237636,canceled,,,
3,buy,883107.8153613993,0.04952475,43735.69377881946,0.04785,0.054549,0.04952475,-7.40007938,7.40007938,canceled,,,
3,sell,1177477.0871485325,0.04785,56342.278620057274,0.04952475,0.042825749999999996,0.04785,-9.53311354,9.53311354,canceled,,,
3,buy,1569969.4495313764,0.04952475,77752.34449567903,0.04785,0.054549,0.04952475,-13.15569668,13.15569668,canceled,,,
4,buy,470436.53806801705,0.04281,20139.38819469181,0.04131165,0.04730505,0.04131165,-708.22653856,3.34795175,closed,sl,1768165466060,1768165466060
4,sell,627248.7174240227,0.04131165,25912.679477170128,0.04281,0.0368166,0.04281,-944.30205142,4.46393567,closed,sl,1768165466060,1768165466060
4,buy,836331.6232320303,0.04281,35803.356790563215,0.04131165,0.04730505,0.04730505,3752.97649383,6.37596918,closed,tp,1768165466060,1768165466060
4,sell,1115108.83097604,0.04131165,46066.985737191324,0.04281,0.0368166,0.04131165,-7.79453398,7.79453398,canceled,,,
4,buy,1486811.7746347203,0.04281,63650.412072112376,0.04131165,0.04730505,0.04281,-10.76964972,10.76964972,canceled,,,
4,sell,1982415.6995129602,0.04131165,81896.86353278458,0.04281,0.0368166,0.04131165,-13.85694930,13.85694930,canceled,,,
5,buy,480517.7715071223,0.04732,22738.10094771703,0.045663800000000004,0.0522886,0.045663800000000004,-799.61349233,3.77995916,closed,sl,1768385554059,1768385554059
5,sell,640690.3620094964,0.045663800000000004,29256.356552729245,0.04732,0.04069520000000001,0.04732,-1066.15132311,5.03994555,closed,sl,1768385554059,1768385554059
5,buy,854253.8160126619,0.04732,40423.29057371916,0.045663800000000004,0.0522886,0.045663800000000004,-1421.53509748,6.71992740,closed,sl,1768385554059,1768385554059
5,sell,1139005.0880168823,0.045663800000000004,52011.300538185315,0.04732,0.04069520000000001,0.04732,-1895.38012998,8.95990321,closed,sl,1768385554059,1768385554059
5,buy,1518673.4506891763,0.04732,71863.62768661183,0.045663800000000004,0.0522886,0.0522886,7532.88321668,12.79769041,closed,tp,1768385554059,1768385554059
5,sell,2024897.9342522349,0.045663800000000004,92464.53429010721,0.04732,0.04069520000000001,0.045663800000000004,-15.64499920,15.64499920,canceled,,,
